"","X1","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",1,2020-10-27,287526,77,915,6656,1,8
"2",2,2020-10-26,287449,924,1112,6655,7,10
"3",3,2020-10-25,286525,387,1210,6648,11,11
"4",4,2020-10-24,286138,884,1231,6637,9,10
"5",5,2020-10-23,285254,1363,1241,6628,11,9
"6",6,2020-10-22,283891,1358,1226,6617,9,10
"7",7,2020-10-21,282533,1413,1220,6608,11,10
"8",8,2020-10-20,281120,1453,1202,6597,12,11
"9",9,2020-10-19,279667,1610,1165,6585,11,12
"10",10,2020-10-18,278057,534,1148,6574,6,12
"11",11,2020-10-17,277523,953,1141,6568,4,13
"12",12,2020-10-16,276570,1260,1151,6564,16,14
"13",13,2020-10-15,275310,1317,1146,6548,10,14
"14",14,2020-10-14,273993,1288,1129,6538,15,15
"15",15,2020-10-13,272705,1194,1133,6523,19,16
"16",16,2020-10-12,271511,1490,1117,6504,16,16
"17",17,2020-10-11,270021,486,1061,6488,14,15
"18",18,2020-10-10,269535,1019,1057,6474,9,16
"19",19,2020-10-09,268516,1229,1027,6465,12,17
"20",20,2020-10-08,267287,1194,1002,6453,23,17
"21",21,2020-10-07,266093,1321,994,6430,19,15
"22",22,2020-10-06,264772,1083,968,6411,17,14
"23",23,2020-10-05,263689,1097,968,6394,14,13
"24",24,2020-10-04,262592,455,958,6380,18,14
"25",25,2020-10-03,262137,807,959,6362,13,14
"26",26,2020-10-02,261330,1059,947,6349,12,15
"27",27,2020-10-01,260271,1137,947,6337,13,16
"28",28,2020-09-30,259134,1137,953,6324,14,17
"29",29,2020-09-29,257997,1081,951,6310,9,19
"30",30,2020-09-28,256916,1033,948,6301,22,20
"31",31,2020-09-27,255883,460,977,6279,18,19
"32",32,2020-09-26,255423,725,975,6261,20,19
"33",33,2020-09-25,254698,1058,972,6241,17,18
"34",34,2020-09-24,253640,1180,955,6224,19,18
"35",35,2020-09-23,252460,1120,939,6205,26,18
"36",36,2020-09-22,251340,1059,944,6179,19,17
"37",37,2020-09-21,250281,1234,929,6160,15,17
"38",38,2020-09-20,249047,450,917,6145,15,18
"39",39,2020-09-19,248597,700,896,6130,16,18
"40",40,2020-09-18,247897,944,886,6114,15,19
"41",41,2020-09-17,246953,1065,890,6099,18,20
"42",42,2020-09-16,245888,1153,870,6081,20,21
"43",43,2020-09-15,244735,960,853,6061,21,22
"44",44,2020-09-14,243775,1144,880,6040,18,23
"45",45,2020-09-13,242631,305,770,6022,19,25
"46",46,2020-09-12,242326,629,780,6003,19,25
"47",47,2020-09-11,241697,976,754,5984,25,25
"48",48,2020-09-10,240721,924,753,5959,25,26
"49",49,2020-09-09,239797,1034,765,5934,29,26
"50",50,2020-09-08,238763,1146,789,5905,29,25
"51",51,2020-09-07,237617,375,779,5876,27,25
"52",52,2020-09-06,237242,373,901,5849,21,26
"53",53,2020-09-05,236869,451,907,5828,21,27
"54",54,2020-09-04,236418,965,962,5807,31,29
"55",55,2020-09-03,235453,1009,973,5776,24,28
"56",56,2020-09-02,234444,1204,997,5752,23,29
"57",57,2020-09-01,233240,1075,1023,5729,29,30
"58",58,2020-08-31,232165,1227,1047,5700,31,30
"59",59,2020-08-30,230938,415,1090,5669,32,29
"60",60,2020-08-29,230523,839,1101,5637,34,28
"61",61,2020-08-28,229684,1044,1108,5603,22,29
"62",62,2020-08-27,228640,1177,1142,5581,31,30
"63",63,2020-08-26,227463,1385,1164,5550,28,31
"64",64,2020-08-25,226078,1244,1165,5522,30,33
"65",65,2020-08-24,224834,1523,1194,5492,25,33
"66",66,2020-08-23,223311,497,1192,5467,29,35
"67",67,2020-08-22,222814,889,1198,5438,38,36
"68",68,2020-08-21,221925,1277,1227,5400,32,36
"69",69,2020-08-20,220648,1332,1247,5368,38,36
"70",70,2020-08-19,219316,1395,1270,5330,42,35
"71",71,2020-08-18,217921,1447,1303,5288,29,34
"72",72,2020-08-17,216474,1506,1334,5259,39,35
"73",73,2020-08-16,214968,540,1411,5220,36,36
"74",74,2020-08-15,214428,1092,1426,5184,33,37
"75",75,2020-08-14,213336,1415,1454,5151,35,37
"76",76,2020-08-13,211921,1498,1519,5116,31,37
"77",77,2020-08-12,210423,1625,1571,5085,32,38
"78",78,2020-08-11,208798,1662,1626,5053,42,38
"79",79,2020-08-10,207136,2043,1700,5011,43,39
"80",80,2020-08-09,205093,649,1717,4968,41,38
"81",81,2020-08-08,204444,1288,1729,4927,35,38
"82",82,2020-08-07,203156,1865,1779,4892,33,40
"83",83,2020-08-06,201291,1864,1816,4859,37,41
"84",84,2020-08-05,199427,2009,1874,4822,34,42
"85",85,2020-08-04,197418,2182,1920,4788,48,42
"86",86,2020-08-03,195236,2163,1976,4740,41,40
"87",87,2020-08-02,193073,734,2038,4699,40,40
"88",88,2020-08-01,192339,1636,2047,4659,47,41
"89",89,2020-07-31,190703,2126,2103,4612,39,40
"90",90,2020-07-30,188577,2266,2158,4573,42,40
"91",91,2020-07-29,186311,2336,2207,4531,39,40
"92",92,2020-07-28,183975,2573,2302,4492,32,41
"93",93,2020-07-27,181402,2596,2397,4460,42,43
"94",94,2020-07-26,178806,793,2513,4418,43,43
"95",95,2020-07-25,178013,2034,2551,4375,46,42
"96",96,2020-07-24,175979,2511,2597,4329,39,40
"97",97,2020-07-23,173468,2607,2706,4290,38,40
"98",98,2020-07-22,170861,3003,2821,4252,49,41
"99",99,2020-07-21,167858,3235,2826,4203,47,39
"100",100,2020-07-20,164623,3405,2847,4156,41,39
"101",101,2020-07-19,161218,1059,2869,4115,37,41
"102",102,2020-07-18,160159,2356,2895,4078,32,40
"103",103,2020-07-17,157803,3280,2910,4046,36,40
"104",104,2020-07-16,154523,3408,2908,4010,43,41
"105",105,2020-07-15,151115,3037,2900,3967,37,39
"106",106,2020-07-14,148078,3385,2949,3930,48,39
"107",107,2020-07-13,144693,3561,2960,3882,55,37
"108",108,2020-07-12,141132,1239,2839,3827,29,34
"109",109,2020-07-11,139893,2460,2831,3798,33,35
"110",110,2020-07-10,137433,3268,2609,3765,40,35
"111",111,2020-07-09,134165,3347,2357,3725,32,34
"112",112,2020-07-08,130818,3383,2342,3693,35,35
"113",113,2020-07-07,127435,3460,2349,3658,33,34
"114",114,2020-07-06,123975,2717,2289,3625,35,35
"115",115,2020-07-05,121258,1182,2322,3590,39,34
"116",116,2020-07-04,120076,906,2310,3551,28,34
"117",117,2020-07-03,119170,1507,2474,3523,33,34
"118",118,2020-07-02,117663,3241,2666,3490,41,33
"119",119,2020-07-01,114422,3428,2621,3449,29,31
"120",120,2020-06-30,110994,3042,2517,3420,37,32
"121",121,2020-06-29,107952,2949,2440,3383,32,30
"122",122,2020-06-28,105003,1100,2337,3351,40,30
"123",123,2020-06-27,103903,2049,2313,3311,24,28
"124",124,2020-06-26,101854,2850,2234,3287,31,31
"125",125,2020-06-25,99004,2929,2081,3256,25,31
"126",126,2020-06-24,96075,2698,1922,3231,37,32
"127",127,2020-06-23,93377,2505,1808,3194,21,32
"128",128,2020-06-22,90872,2229,1713,3173,30,33
"129",129,2020-06-21,88643,934,1680,3143,31,33
"130",130,2020-06-20,87709,1491,1668,3112,39,33
"131",131,2020-06-19,86218,1784,1634,3073,35,31
"132",132,2020-06-18,84434,1810,1591,3038,29,30
"133",133,2020-06-17,82624,1900,1533,3009,40,30
"134",134,2020-06-16,80724,1843,1478,2969,24,28
"135",135,2020-06-15,78881,1998,1405,2945,32,30
"136",136,2020-06-14,76883,851,1343,2913,29,30
"137",137,2020-06-13,76032,1252,1321,2884,28,31
