"","X1","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"138",138,2020-06-12,74780,1484,1296,2856,31,32
"139",139,2020-06-11,73296,1406,1282,2825,25,33
"140",140,2020-06-10,71890,1510,1302,2800,26,36
"141",141,2020-06-09,70380,1337,1277,2774,36,39
"142",142,2020-06-08,69043,1562,1286,2738,37,38
"143",143,2020-06-07,67481,695,1235,2701,35,38
"144",144,2020-06-06,66786,1081,1206,2666,35,37
"145",145,2020-06-05,65705,1385,1183,2631,39,37
"146",146,2020-06-04,64320,1544,1197,2592,45,37
"147",147,2020-06-03,62776,1338,1158,2547,45,35
"148",148,2020-06-02,61438,1400,1165,2502,30,35
"149",149,2020-06-01,60038,1205,1206,2472,36,36
"150",150,2020-05-31,58833,487,1168,2436,30,35
"151",151,2020-05-30,58346,920,1172,2406,37,36
"152",152,2020-05-29,57426,1487,1146,2369,33,36
"153",153,2020-05-28,55939,1267,1073,2336,32,38
"154",154,2020-05-27,54672,1390,1028,2304,47,37
"155",155,2020-05-26,53282,1686,994,2257,40,34
"156",156,2020-05-25,51596,942,891,2217,28,35
"157",157,2020-05-24,50654,511,922,2189,38,38
"158",158,2020-05-23,50143,742,928,2151,35,38
"159",159,2020-05-22,49401,973,930,2116,43,40
"160",160,2020-05-21,48428,949,966,2073,27,40
"161",161,2020-05-20,47479,1157,1009,2046,29,41
"162",162,2020-05-19,46322,960,979,2017,46,42
"163",163,2020-05-18,45362,1164,998,1971,46,43
"164",164,2020-05-17,44198,549,1001,1925,38,40
"165",165,2020-05-16,43649,758,1007,1887,52,39
"166",166,2020-05-15,42891,1222,999,1835,43,39
"167",167,2020-05-14,41669,1250,968,1792,31,40
"168",168,2020-05-13,40419,951,926,1761,41,42
"169",169,2020-05-12,39468,1095,933,1720,48,44
"170",170,2020-05-11,38373,1185,957,1672,28,43
"171",171,2020-05-10,37188,590,921,1644,31,45
"172",172,2020-05-09,36598,701,904,1613,49,47
"173",173,2020-05-08,35897,1004,905,1564,50,47
"174",174,2020-05-07,34893,953,894,1514,50,45
"175",175,2020-05-06,33940,1003,889,1464,53,44
"176",176,2020-05-05,32937,1261,887,1411,37,42
"177",177,2020-05-04,31676,934,844,1374,43,45
"178",178,2020-05-03,30742,473,865,1331,44,44
"179",179,2020-05-02,30269,707,883,1287,49,43
"180",180,2020-05-01,29562,926,911,1238,36,42
"181",181,2020-04-30,28636,916,923,1202,45,43
"182",182,2020-04-29,27720,994,931,1157,42,44
"183",183,2020-04-28,26726,960,900,1115,54,45
"184",184,2020-04-27,25766,1078,888,1061,37,43
"185",185,2020-04-26,24688,598,869,1024,41,44
"186",186,2020-04-25,24090,902,853,983,40,44
"187",187,2020-04-24,23188,1013,811,943,44,43
"188",188,2020-04-23,22175,974,785,899,50,43
"189",189,2020-04-22,21201,778,755,849,47,44
"190",190,2020-04-21,20423,876,766,802,40,42
"191",191,2020-04-20,19547,939,735,762,47,43
"192",192,2020-04-19,18608,486,698,715,37,42
"193",193,2020-04-18,18122,610,690,678,38,42
"194",194,2020-04-17,17512,833,671,640,39,41
"195",195,2020-04-16,16679,765,636,601,58,40
"196",196,2020-04-15,15914,851,608,543,35,37
"197",197,2020-04-14,15063,662,573,508,47,37
"198",198,2020-04-13,14401,676,579,461,42,34
"199",199,2020-04-12,13725,435,559,419,37,31
"200",200,2020-04-11,13290,477,581,382,30,29
"201",201,2020-04-10,12813,583,597,352,30,27
"202",202,2020-04-09,12230,573,627,322,35,27
"203",203,2020-04-08,11657,605,633,287,40,25
"204",204,2020-04-07,11052,702,635,247,25,22
"205",205,2020-04-06,10350,535,627,222,17,21
"206",206,2020-04-05,9815,592,639,205,23,20
"207",207,2020-04-04,9223,591,607,182,21,19
"208",208,2020-04-03,8632,789,579,161,26,17
"209",209,2020-04-02,7843,619,519,135,22,14
"210",210,2020-04-01,7224,618,484,113,19,12
"211",211,2020-03-31,6606,645,459,94,16,10
"212",212,2020-03-30,5961,617,407,78,11,8
"213",213,2020-03-29,5344,370,360,67,15,8
"214",214,2020-03-28,4974,392,343,52,8,6
"215",215,2020-03-27,4582,373,315,44,9,5
"216",216,2020-03-26,4209,376,297,35,4,4
"217",217,2020-03-25,3833,438,274,31,7,4
"218",218,2020-03-24,3395,284,238,24,3,3
"219",219,2020-03-23,3111,288,227,21,7,3
"220",220,2020-03-22,2823,251,217,14,4,2
"221",221,2020-03-21,2572,192,206,10,3,1
"222",222,2020-03-20,2380,249,199,7,3,1
"223",223,2020-03-19,2131,217,185,4,4,1
"224",224,2020-03-18,1914,186,176,0,0,0
"225",225,2020-03-17,1728,207,168,0,0,0
"226",226,2020-03-16,1521,220,152,0,0,0
"227",227,2020-03-15,1301,169,133,0,0,0
"228",228,2020-03-14,1132,144,116,0,0,0
"229",229,2020-03-13,988,149,101,0,0,0
"230",230,2020-03-12,839,157,86,0,0,0
"231",231,2020-03-11,682,132,68,0,0,0
"232",232,2020-03-10,550,96,52,0,0,0
"233",233,2020-03-09,454,87,40,0,0,0
"234",234,2020-03-08,367,46,31,0,0,0
"235",235,2020-03-07,321,41,28,0,0,0
"236",236,2020-03-06,280,43,NA,0,0,NA
"237",237,2020-03-05,237,33,NA,0,0,NA
"238",238,2020-03-04,204,19,NA,0,0,NA
"239",239,2020-03-03,185,13,NA,0,0,NA
"240",240,2020-03-02,172,19,NA,0,0,NA
"241",241,2020-03-01,153,25,NA,0,0,NA
