X1,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,2020-11-17,330689,163,2074,6939,6,9
2,2020-11-16,330526,1688,2422,6933,11,10
3,2020-11-15,328838,1313,2581,6922,11,10
4,2020-11-14,327525,2463,2520,6911,9,9
5,2020-11-13,325062,3219,2418,6902,9,10
6,2020-11-12,321843,2932,2281,6893,9,11
7,2020-11-11,318911,2738,2203,6884,9,10
8,2020-11-10,316173,2601,2154,6875,9,10
9,2020-11-09,313572,2802,2054,6866,11,11
10,2020-11-08,310770,886,1917,6855,10,11
11,2020-11-07,309884,1747,1897,6845,10,12
12,2020-11-06,308137,2264,1806,6835,16,12
13,2020-11-05,305873,2382,1671,6819,7,11
14,2020-11-04,303491,2393,1514,6812,9,13
15,2020-11-03,301098,1903,1342,6803,14,13
16,2020-11-02,299195,1847,1255,6789,11,14
17,2020-11-01,297348,740,1201,6778,18,14
18,2020-10-31,296608,1112,1201,6760,12,14
19,2020-10-30,295496,1319,1194,6748,9,14
20,2020-10-29,294177,1285,1228,6739,16,15
21,2020-10-28,292892,1189,1283,6723,12,15
22,2020-10-27,291703,1296,1355,6711,17,15
23,2020-10-26,290407,1464,1404,6694,14,15
24,2020-10-25,288943,740,1455,6680,16,15
25,2020-10-24,288203,1066,1440,6664,13,14
26,2020-10-23,287137,1559,1436,6651,19,14
27,2020-10-22,285578,1664,1405,6632,14,14
28,2020-10-21,283914,1693,1364,6618,14,14
29,2020-10-20,282221,1643,1313,6604,14,14
30,2020-10-19,280578,1819,1254,6590,16,15
31,2020-10-18,278759,639,1212,6574,9,15
32,2020-10-17,278120,1035,1192,6565,11,16
33,2020-10-16,277085,1339,1193,6554,18,15
34,2020-10-15,275746,1379,1179,6536,14,14
35,2020-10-14,274367,1338,1156,6522,17,15
36,2020-10-13,273029,1226,1154,6505,19,16
37,2020-10-12,271803,1526,1108,6486,15,15
38,2020-10-11,270277,502,1048,6471,15,15
39,2020-10-10,269775,1041,1049,6456,9,16
40,2020-10-09,268734,1243,1025,6447,10,16
41,2020-10-08,267491,1214,1004,6437,22,16
42,2020-10-07,266277,1324,998,6415,19,15
43,2020-10-06,264953,906,975,6396,17,14
44,2020-10-05,264047,1108,1005,6379,14,13
45,2020-10-04,262939,504,999,6365,18,14
46,2020-10-03,262435,875,994,6347,12,14
47,2020-10-02,261560,1100,974,6335,11,15
48,2020-10-01,260460,1172,970,6324,13,16
49,2020-09-30,259288,1163,972,6311,14,17
50,2020-09-29,258125,1110,966,6297,9,19
51,2020-09-28,257015,1066,959,6288,20,20
52,2020-09-27,255949,475,984,6268,18,19
53,2020-09-26,255474,729,980,6250,20,19
54,2020-09-25,254745,1072,976,6230,17,18
55,2020-09-24,253673,1186,959,6213,19,18
56,2020-09-23,252487,1127,941,6194,27,18
57,2020-09-22,251360,1060,945,6167,18,17
58,2020-09-21,250300,1238,931,6149,15,17
59,2020-09-20,249062,448,918,6134,15,17
60,2020-09-19,248614,700,897,6119,16,18
61,2020-09-18,247914,951,887,6103,15,18
62,2020-09-17,246963,1062,891,6088,18,20
63,2020-09-16,245901,1154,871,6070,20,21
64,2020-09-15,244747,962,854,6050,20,22
65,2020-09-14,243785,1147,880,6030,18,23
66,2020-09-13,242638,305,770,6012,19,24
67,2020-09-12,242333,630,780,5993,19,25
68,2020-09-11,241703,978,754,5974,25,25
69,2020-09-10,240725,922,753,5949,25,26
70,2020-09-09,239803,1034,765,5924,28,26
71,2020-09-08,238769,1145,790,5896,28,25
72,2020-09-07,237624,376,780,5868,27,25
73,2020-09-06,237248,373,902,5841,21,25
74,2020-09-05,236875,451,908,5820,22,27
75,2020-09-04,236424,967,963,5798,30,29
76,2020-09-03,235457,1010,974,5768,24,28
77,2020-09-02,234447,1208,998,5744,23,29
78,2020-09-01,233239,1076,1023,5721,28,29
79,2020-08-31,232163,1226,1047,5693,29,30
80,2020-08-30,230937,415,1090,5664,33,29
81,2020-08-29,230522,838,1102,5631,34,28
82,2020-08-28,229684,1043,1109,5597,22,29
83,2020-08-27,228641,1177,1143,5575,31,30
