X1,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,2020-11-11,313475,90,1463,6827,0,6
2,2020-11-10,313385,975,1785,6827,3,7
3,2020-11-09,312410,2312,1943,6824,5,8
4,2020-11-08,310098,751,1939,6819,9,9
5,2020-11-07,309347,1647,1935,6810,7,9
6,2020-11-06,307700,2164,1870,6803,12,10
7,2020-11-05,305536,2301,1752,6791,6,9
8,2020-11-04,303235,2344,1588,6785,6,11
9,2020-11-03,300891,2080,1400,6779,12,11
10,2020-11-02,298811,2287,1266,6767,8,12
11,2020-11-01,296524,720,1131,6759,15,12
12,2020-10-31,295804,1193,1123,6744,9,12
13,2020-10-30,294611,1337,1098,6735,8,13
14,2020-10-29,293274,1153,1123,6727,16,14
15,2020-10-28,292121,1030,1190,6711,12,14
16,2020-10-27,291091,1144,1281,6699,14,14
17,2020-10-26,289947,1340,1349,6685,13,14
18,2020-10-25,288607,663,1416,6672,15,15
19,2020-10-24,287944,1022,1411,6657,13,14
20,2020-10-23,286922,1512,1412,6644,18,13
21,2020-10-22,285410,1617,1386,6626,13,13
22,2020-10-21,283793,1671,1351,6613,14,14
23,2020-10-20,282122,1619,1302,6599,14,14
24,2020-10-19,280503,1806,1245,6585,16,15
25,2020-10-18,278697,631,1205,6569,9,15
26,2020-10-17,278066,1026,1186,6560,10,15
27,2020-10-16,277040,1333,1187,6550,18,15
28,2020-10-15,275707,1368,1173,6532,14,14
29,2020-10-14,274339,1334,1151,6518,17,15
30,2020-10-13,273005,1219,1149,6501,19,15
31,2020-10-12,271786,1521,1104,6482,15,15
32,2020-10-11,270265,500,1044,6467,15,15
33,2020-10-10,269765,1033,1044,6452,9,15
34,2020-10-09,268732,1238,1019,6443,10,16
35,2020-10-08,267494,1211,999,6433,20,16
36,2020-10-07,266283,1324,993,6413,19,15
37,2020-10-06,264959,904,969,6394,16,14
38,2020-10-05,264055,1095,998,6378,14,13
39,2020-10-04,262960,500,994,6364,18,14
40,2020-10-03,262460,863,990,6346,12,14
41,2020-10-02,261597,1097,971,6334,11,15
42,2020-10-01,260500,1169,968,6323,13,16
43,2020-09-30,259331,1156,970,6310,14,17
44,2020-09-29,258175,1109,966,6296,9,19
45,2020-09-28,257066,1063,958,6287,20,20
46,2020-09-27,256003,474,983,6267,18,19
47,2020-09-26,255529,730,980,6249,20,19
48,2020-09-25,254799,1072,976,6229,17,18
49,2020-09-24,253727,1184,958,6212,19,18
50,2020-09-23,252543,1127,941,6193,27,18
51,2020-09-22,251416,1059,945,6166,18,17
52,2020-09-21,250357,1238,931,6148,15,17
53,2020-09-20,249119,449,918,6133,15,17
54,2020-09-19,248670,701,897,6118,16,18
55,2020-09-18,247969,950,887,6102,15,18
56,2020-09-17,247019,1064,891,6087,18,20
57,2020-09-16,245955,1154,871,6069,20,21
58,2020-09-15,244801,961,854,6049,20,22
59,2020-09-14,243840,1146,880,6029,18,23
60,2020-09-13,242694,305,770,6011,19,24
61,2020-09-12,242389,630,780,5992,19,25
62,2020-09-11,241759,979,754,5973,25,25
63,2020-09-10,240780,924,753,5948,25,26
64,2020-09-09,239856,1034,765,5923,28,26
65,2020-09-08,238822,1145,789,5895,28,25
66,2020-09-07,237677,375,779,5867,27,25
67,2020-09-06,237302,373,901,5840,21,25
68,2020-09-05,236929,451,907,5819,22,27
69,2020-09-04,236478,966,962,5797,30,29
70,2020-09-03,235512,1010,973,5767,24,28
71,2020-09-02,234502,1206,997,5743,23,29
72,2020-09-01,233296,1075,1022,5720,28,29
73,2020-08-31,232221,1224,1047,5692,29,30
74,2020-08-30,230997,415,1091,5663,33,29
75,2020-08-29,230582,839,1102,5630,34,28
76,2020-08-28,229743,1044,1109,5596,22,29
77,2020-08-27,228699,1176,1143,5574,31,30
78,2020-08-26,227523,1384,1165,5543,28,31
79,2020-08-25,226139,1245,1167,5515,30,33
80,2020-08-24,224894,1531,1196,5485,25,33
81,2020-08-23,223363,498,1193,5460,29,35
82,2020-08-22,222865,887,1198,5431,37,36
83,2020-08-21,221978,1279,1227,5394,33,35
84,2020-08-20,220699,1331,1247,5361,37,36
85,2020-08-19,219368,1398,1272,5324,41,35
86,2020-08-18,217970,1445,1305,5283,29,33
87,2020-08-17,216525,1511,1336,5254,39,35
88,2020-08-16,215014,538,1412,5215,37,36
89,2020-08-15,214476,1090,1428,5178,32,36
90,2020-08-14,213386,1413,1457,5146,34,37
91,2020-08-13,211973,1511,1523,5112,31,37
92,2020-08-12,210462,1627,1574,5081,32,37
93,2020-08-11,208835,1664,1630,5049,43,38
94,2020-08-10,207171,2044,1704,5006,43,38
95,2020-08-09,205127,649,1720,4963,40,38
96,2020-08-08,204478,1288,1733,4923,35,38
97,2020-08-07,203190,1879,1782,4888,33,40
98,2020-08-06,201311,1870,1817,4855,36,40
99,2020-08-05,199441,2015,1873,4819,34,41
100,2020-08-04,197426,2182,1920,4785,47,42
101,2020-08-03,195244,2160,1975,4738,41,40
102,2020-08-02,193084,734,2039,4697,39,40
