X1,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,2020-11-05,301216,67,1183,6768,1,8
2,2020-11-04,301149,1190,1376,6767,6,10
3,2020-11-03,299959,1432,1387,6761,12,11
4,2020-11-02,298527,2174,1364,6749,7,10
5,2020-11-01,296353,676,1239,6742,15,11
6,2020-10-31,295677,1247,1207,6727,7,11
7,2020-10-30,294430,1498,1155,6720,8,12
8,2020-10-29,292932,1413,1139,6712,15,13
9,2020-10-28,291519,1271,1155,6697,10,13
10,2020-10-27,290248,1268,1199,6687,11,13
11,2020-10-26,288980,1299,1241,6676,13,13
12,2020-10-25,287681,451,1309,6663,14,14
13,2020-10-24,287230,886,1331,6649,11,13
14,2020-10-23,286344,1383,1347,6638,17,13
15,2020-10-22,284961,1525,1337,6621,12,13
16,2020-10-21,283436,1581,1312,6609,13,13
17,2020-10-20,281855,1565,1275,6596,14,13
18,2020-10-19,280290,1775,1224,6582,15,14
19,2020-10-18,278515,602,1186,6567,8,14
20,2020-10-17,277913,997,1170,6559,10,15
21,2020-10-16,276916,1314,1174,6549,17,15
22,2020-10-15,275602,1351,1163,6532,14,14
23,2020-10-14,274251,1321,1143,6518,16,15
24,2020-10-13,272930,1210,1143,6502,19,16
25,2020-10-12,271720,1506,1099,6483,16,15
26,2020-10-11,270214,493,1040,6467,15,15
27,2020-10-10,269721,1026,1041,6452,9,15
28,2020-10-09,268695,1237,1018,6443,10,16
29,2020-10-08,267458,1207,997,6433,20,16
30,2020-10-07,266251,1322,990,6413,20,15
31,2020-10-06,264929,904,965,6393,16,14
32,2020-10-05,264025,1091,994,6377,14,13
33,2020-10-04,262934,498,988,6363,18,14
34,2020-10-03,262436,864,984,6345,12,14
35,2020-10-02,261572,1092,965,6333,11,15
36,2020-10-01,260480,1156,962,6322,13,16
37,2020-09-30,259324,1152,966,6309,14,17
38,2020-09-29,258172,1104,962,6295,9,19
39,2020-09-28,257068,1053,956,6286,20,20
40,2020-09-27,256015,468,982,6266,18,19
41,2020-09-26,255547,730,979,6248,20,19
42,2020-09-25,254817,1070,975,6228,17,18
43,2020-09-24,253747,1183,958,6211,19,18
44,2020-09-23,252564,1126,941,6192,27,18
45,2020-09-22,251438,1060,945,6165,18,17
46,2020-09-21,250378,1237,931,6147,15,17
47,2020-09-20,249141,449,918,6132,15,17
48,2020-09-19,248692,701,897,6117,16,18
49,2020-09-18,247991,950,887,6101,15,18
50,2020-09-17,247041,1064,891,6086,18,20
51,2020-09-16,245977,1154,871,6068,20,21
52,2020-09-15,244823,960,854,6048,20,22
53,2020-09-14,243863,1147,880,6028,18,23
54,2020-09-13,242716,305,770,6010,19,25
55,2020-09-12,242411,630,780,5991,19,25
56,2020-09-11,241781,978,754,5972,25,25
57,2020-09-10,240803,924,753,5947,25,26
58,2020-09-09,239879,1034,765,5922,28,26
59,2020-09-08,238845,1145,790,5894,29,25
60,2020-09-07,237700,375,780,5865,27,25
61,2020-09-06,237325,373,901,5838,21,25
62,2020-09-05,236952,451,907,5817,21,27
63,2020-09-04,236501,966,962,5796,30,29
64,2020-09-03,235535,1011,974,5766,25,28
65,2020-09-02,234524,1207,997,5741,23,29
66,2020-09-01,233317,1075,1023,5718,28,29
67,2020-08-31,232242,1224,1047,5690,29,30
68,2020-08-30,231018,415,1091,5661,33,29
69,2020-08-29,230603,839,1103,5628,34,28
70,2020-08-28,229764,1045,1110,5594,22,29
71,2020-08-27,228719,1177,1143,5572,31,30
72,2020-08-26,227542,1386,1165,5541,28,31
73,2020-08-25,226156,1245,1167,5513,30,33
74,2020-08-24,224911,1530,1196,5483,25,33
75,2020-08-23,223381,498,1193,5458,29,35
76,2020-08-22,222883,887,1199,5429,37,36
77,2020-08-21,221996,1279,1228,5392,32,35
78,2020-08-20,220717,1331,1247,5360,37,36
79,2020-08-19,219386,1398,1273,5323,42,35
80,2020-08-18,217988,1446,1305,5281,29,33
81,2020-08-17,216542,1511,1337,5252,39,35
82,2020-08-16,215031,540,1413,5213,36,36
83,2020-08-15,214491,1090,1428,5177,32,36
84,2020-08-14,213401,1413,1457,5145,34,37
85,2020-08-13,211988,1512,1523,5111,31,37
86,2020-08-12,210476,1625,1574,5080,32,37
87,2020-08-11,208851,1665,1630,5048,42,38
88,2020-08-10,207186,2044,1703,5006,43,38
89,2020-08-09,205142,650,1720,4963,40,38
90,2020-08-08,204492,1288,1732,4923,35,38
91,2020-08-07,203204,1878,1781,4888,33,40
92,2020-08-06,201326,1868,1817,4855,36,40
93,2020-08-05,199458,2014,1873,4819,34,41
94,2020-08-04,197444,2182,1920,4785,47,42
95,2020-08-03,195262,2159,1975,4738,41,40
96,2020-08-02,193103,734,2039,4697,39,40
97,2020-08-01,192369,1635,2047,4658,47,41
98,2020-07-31,190734,2125,2104,4611,38,40
99,2020-07-30,188609,2263,2160,4573,41,41
100,2020-07-29,186346,2339,2209,4532,39,40
101,2020-07-28,184007,2573,2304,4493,33,42
102,2020-07-27,181434,2602,2399,4460,42,43
103,2020-07-26,178832,793,2515,4418,44,43
104,2020-07-25,178039,2036,2553,4374,46,42
105,2020-07-24,176003,2513,2599,4328,39,40
106,2020-07-23,173490,2606,2708,4289,38,40
107,2020-07-22,170884,3005,2823,4251,49,41
108,2020-07-21,167879,3236,2828,4202,46,39
109,2020-07-20,164643,3414,2849,4156,41,39
110,2020-07-19,161229,1061,2870,4115,37,41
111,2020-07-18,160168,2356,2895,4078,32,40
112,2020-07-17,157812,3279,2911,4046,37,40
113,2020-07-16,154533,3408,2910,4009,43,41
114,2020-07-15,151125,3039,2901,3966,37,39
115,2020-07-14,148086,3385,2950,3929,48,39
116,2020-07-13,144701,3562,2961,3881,55,37
117,2020-07-12,141139,1239,2841,3826,29,34
118,2020-07-11,139900,2466,2832,3797,33,35
119,2020-07-10,137434,3270,2610,3764,40,35
120,2020-07-09,134164,3348,2358,3724,32,34
121,2020-07-08,130816,3382,2343,3692,35,35
122,2020-07-07,127434,3463,2350,3657,33,34
123,2020-07-06,123971,2716,2290,3624,35,35
124,2020-07-05,121255,1182,2324,3589,39,34
125,2020-07-04,120073,906,2312,3550,28,35
126,2020-07-03,119167,1507,2475,3522,33,34
127,2020-07-02,117660,3245,2667,3489,41,34
128,2020-07-01,114415,3429,2620,3448,30,31
129,2020-06-30,110986,3044,2510,3418,38,32
130,2020-06-29,107942,2952,2422,3380,32,30
131,2020-06-28,104990,1099,2317,3348,40,30
132,2020-06-27,103891,2049,2295,3308,24,28
133,2020-06-26,101842,2850,2216,3284,31,30
134,2020-06-25,98992,2920,2066,3253,25,31
135,2020-06-24,96072,2655,1909,3228,37,32
136,2020-06-23,93417,2431,1804,3191,21,32
137,2020-06-22,90986,2212,1722,3170,30,32
138,2020-06-21,88774,946,1693,3140,30,33
139,2020-06-20,87828,1497,1680,3110,39,33
140,2020-06-19,86331,1799,1647,3071,35,31
141,2020-06-18,84532,1826,1603,3036,29,30
142,2020-06-17,82706,1917,1544,3007,40,30
143,2020-06-16,80789,1858,1486,2967,24,28
144,2020-06-15,78931,2009,1413,2943,32,29
145,2020-06-14,76922,857,1349,2911,29,30
146,2020-06-13,76065,1260,1326,2882,28,31
147,2020-06-12,74805,1497,1301,2854,30,32
148,2020-06-11,73308,1412,1285,2824,24,33
149,2020-06-10,71896,1512,1304,2800,26,36
150,2020-06-09,70384,1341,1279,2774,36,39
151,2020-06-08,69043,1564,1287,2738,37,38
152,2020-06-07,67479,696,1236,2701,35,38
153,2020-06-06,66783,1083,1206,2666,35,37
154,2020-06-05,65700,1385,1183,2631,40,38
155,2020-06-04,64315,1544,1198,2591,45,37
156,2020-06-03,62771,1338,1158,2546,45,35
157,2020-06-02,61433,1402,1166,2501,30,35
158,2020-06-01,60031,1205,1206,2471,36,36
159,2020-05-31,58826,487,1169,2435,30,35
160,2020-05-30,58339,920,1172,2405,37,36
161,2020-05-29,57419,1490,1146,2368,33,36
162,2020-05-28,55929,1266,1073,2335,32,38
163,2020-05-27,54663,1389,1027,2303,47,37
164,2020-05-26,53274,1686,994,2256,40,34
165,2020-05-25,51588,943,890,2216,28,35
166,2020-05-24,50645,507,922,2188,38,38
167,2020-05-23,50138,744,928,2150,35,38
168,2020-05-22,49394,974,930,2115,43,40
169,2020-05-21,48420,949,965,2072,27,40
170,2020-05-20,47471,1156,1008,2045,29,41
171,2020-05-19,46315,959,979,2016,47,42
172,2020-05-18,45356,1164,998,1969,45,43
173,2020-05-17,44192,549,1001,1924,38,40
174,2020-05-16,43643,758,1007,1886,52,39
175,2020-05-15,42885,1221,999,1834,43,39
176,2020-05-14,41664,1250,968,1791,31,40
177,2020-05-13,40414,952,925,1760,41,43
178,2020-05-12,39462,1095,932,1719,48,44
179,2020-05-11,38367,1184,956,1671,28,43
180,2020-05-10,37183,589,920,1643,32,45
181,2020-05-09,36594,700,904,1611,49,47
182,2020-05-08,35894,1003,905,1562,50,47
183,2020-05-07,34891,953,894,1512,50,45
184,2020-05-06,33938,1003,889,1462,53,44
185,2020-05-05,32935,1260,887,1409,37,42
186,2020-05-04,31675,935,844,1372,43,45
187,2020-05-03,30740,474,865,1329,44,44
188,2020-05-02,30266,706,883,1285,49,43
189,2020-05-01,29560,927,910,1236,36,42
190,2020-04-30,28633,916,923,1200,45,43
191,2020-04-29,27717,994,931,1155,42,44
192,2020-04-28,26723,958,900,1113,53,45
193,2020-04-27,25765,1077,889,1060,37,43
194,2020-04-26,24688,600,869,1023,41,44
195,2020-04-25,24088,901,853,982,39,43
196,2020-04-24,23187,1014,811,943,44,43
197,2020-04-23,22173,975,785,899,51,43
198,2020-04-22,21198,777,755,848,47,44
199,2020-04-21,20421,877,766,801,40,42
200,2020-04-20,19544,939,735,761,47,43
201,2020-04-19,18605,486,697,714,36,42
202,2020-04-18,18119,610,690,678,38,42
203,2020-04-17,17509,833,671,640,39,41
204,2020-04-16,16676,764,635,601,58,40
205,2020-04-15,15912,851,608,543,35,37
206,2020-04-14,15061,663,573,508,47,37
207,2020-04-13,14398,675,578,461,42,34
208,2020-04-12,13723,435,558,419,37,31
209,2020-04-11,13288,477,581,382,30,29
210,2020-04-10,12811,581,597,352,30,27
211,2020-04-09,12230,574,627,322,35,27
212,2020-04-08,11656,606,633,287,40,25
213,2020-04-07,11050,700,635,247,25,22
214,2020-04-06,10350,536,627,222,17,21
215,2020-04-05,9814,591,638,205,23,20
216,2020-04-04,9223,591,607,182,21,19
217,2020-04-03,8632,789,578,161,26,17
218,2020-04-02,7843,619,519,135,22,14
219,2020-04-01,7224,617,484,113,19,12
220,2020-03-31,6607,644,458,94,16,10
221,2020-03-30,5963,617,407,78,11,8
222,2020-03-29,5346,370,360,67,15,8
223,2020-03-28,4976,392,343,52,8,6
224,2020-03-27,4584,373,315,44,9,5
225,2020-03-26,4211,373,297,35,4,4
226,2020-03-25,3838,438,275,31,7,4
227,2020-03-24,3400,284,239,24,3,3
228,2020-03-23,3116,291,228,21,7,3
229,2020-03-22,2825,252,218,14,4,2
230,2020-03-21,2573,192,206,10,3,1
231,2020-03-20,2381,249,199,7,3,1
232,2020-03-19,2132,217,185,4,4,1
233,2020-03-18,1915,186,176,0,0,0
234,2020-03-17,1729,207,168,0,0,0
235,2020-03-16,1522,220,152,0,0,0
236,2020-03-15,1302,169,133,0,0,0
237,2020-03-14,1133,144,116,0,0,0
238,2020-03-13,989,149,101,0,0,0
239,2020-03-12,840,157,86,0,0,0
240,2020-03-11,683,132,68,0,0,0
241,2020-03-10,551,96,52,0,0,0
242,2020-03-09,455,87,40,0,0,0
243,2020-03-08,368,46,31,0,0,0
244,2020-03-07,322,41,28,0,0,0
245,2020-03-06,281,43,NA,0,0,NA
246,2020-03-05,238,33,NA,0,0,NA
247,2020-03-04,205,19,NA,0,0,NA
248,2020-03-03,186,13,NA,0,0,NA
249,2020-03-02,173,19,NA,0,0,NA
250,2020-03-01,154,25,NA,0,0,NA
