X1,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,2020-10-31,292998,33,899,6686,1,7
2,2020-10-30,292965,643,1012,6685,3,9
3,2020-10-29,292322,1204,1108,6682,10,10
4,2020-10-28,291118,1161,1143,6672,6,10
5,2020-10-27,289957,1309,1194,6666,8,11
6,2020-10-26,288648,1559,1224,6658,12,11
7,2020-10-25,287089,382,1249,6646,12,12
8,2020-10-24,286707,825,1276,6634,9,11
9,2020-10-23,285882,1317,1299,6625,12,11
10,2020-10-22,284565,1450,1296,6613,10,11
11,2020-10-21,283115,1516,1281,6603,11,12
12,2020-10-20,281599,1516,1251,6592,14,12
13,2020-10-19,280083,1740,1207,6578,15,13
14,2020-10-18,278343,571,1172,6563,7,13
15,2020-10-17,277772,982,1161,6556,5,14
16,2020-10-16,276790,1299,1167,6551,17,15
17,2020-10-15,275491,1342,1157,6534,12,14
18,2020-10-14,274149,1309,1137,6522,15,15
19,2020-10-13,272840,1206,1138,6507,20,16
20,2020-10-12,271634,1498,1096,6487,16,16
21,2020-10-11,270136,489,1038,6471,15,15
22,2020-10-10,269647,1023,1039,6456,9,16
23,2020-10-09,268624,1230,1015,6447,11,16
24,2020-10-08,267394,1205,995,6436,22,16
25,2020-10-07,266189,1318,989,6414,19,15
26,2020-10-06,264871,906,964,6395,17,14
27,2020-10-05,263965,1094,992,6378,14,13
28,2020-10-04,262871,498,986,6364,18,14
29,2020-10-03,262373,857,981,6346,12,14
30,2020-10-02,261516,1090,963,6334,12,15
31,2020-10-01,260426,1159,960,6322,13,16
32,2020-09-30,259267,1146,963,6309,14,17
33,2020-09-29,258121,1103,960,6295,9,19
34,2020-09-28,257018,1050,954,6286,20,20
35,2020-09-27,255968,465,981,6266,18,19
36,2020-09-26,255503,729,979,6248,20,19
37,2020-09-25,254774,1068,975,6228,17,18
38,2020-09-24,253706,1181,958,6211,19,18
39,2020-09-23,252525,1126,941,6192,27,18
40,2020-09-22,251399,1061,945,6165,18,17
41,2020-09-21,250338,1237,931,6147,15,17
42,2020-09-20,249101,450,918,6132,15,17
43,2020-09-19,248651,701,897,6117,16,18
44,2020-09-18,247950,948,887,6101,15,18
45,2020-09-17,247002,1064,891,6086,18,20
46,2020-09-16,245938,1154,871,6068,20,21
47,2020-09-15,244784,961,854,6048,20,22
