"","X1","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"128",128,2020-06-21,88564,932,1673,3143,31,33
"129",129,2020-06-20,87632,1487,1661,3112,39,33
"130",130,2020-06-19,86145,1781,1626,3073,35,31
"131",131,2020-06-18,84364,1804,1583,3038,29,30
"132",132,2020-06-17,82560,1886,1526,3009,40,30
"133",133,2020-06-16,80674,1837,1472,2969,24,28
"134",134,2020-06-15,78837,1984,1400,2945,32,30
"135",135,2020-06-14,76853,846,1340,2913,29,30
"136",136,2020-06-13,76007,1244,1318,2884,28,31
"137",137,2020-06-12,74763,1482,1294,2856,31,32
"138",138,2020-06-11,73281,1403,1281,2825,25,33
"139",139,2020-06-10,71878,1507,1301,2800,26,36
"140",140,2020-06-09,70371,1336,1276,2774,36,39
"141",141,2020-06-08,69035,1562,1286,2738,37,38
"142",142,2020-06-07,67473,692,1235,2701,35,38
"143",143,2020-06-06,66781,1079,1206,2666,35,37
"144",144,2020-06-05,65702,1385,1183,2631,39,37
"145",145,2020-06-04,64317,1543,1198,2592,45,37
"146",146,2020-06-03,62774,1338,1158,2547,45,35
"147",147,2020-06-02,61436,1401,1166,2502,30,35
"148",148,2020-06-01,60035,1207,1206,2472,36,36
"149",149,2020-05-31,58828,487,1168,2436,30,35
"150",150,2020-05-30,58341,921,1171,2406,37,36
"151",151,2020-05-29,57420,1487,1146,2369,33,36
"152",152,2020-05-28,55933,1267,1072,2336,32,38
"153",153,2020-05-27,54666,1390,1027,2304,47,37
"154",154,2020-05-26,53276,1685,994,2257,40,34
"155",155,2020-05-25,51591,939,890,2217,28,35
"156",156,2020-05-24,50652,511,922,2189,38,38
"157",157,2020-05-23,50141,742,928,2151,35,38
"158",158,2020-05-22,49399,973,930,2116,43,40
"159",159,2020-05-21,48426,949,966,2073,27,40
"160",160,2020-05-20,47477,1157,1008,2046,29,41
"161",161,2020-05-19,46320,960,979,2017,46,42
"162",162,2020-05-18,45360,1164,999,1971,46,43
"163",163,2020-05-17,44196,549,1001,1925,38,40
"164",164,2020-05-16,43647,758,1007,1887,52,39
"165",165,2020-05-15,42889,1222,999,1835,43,39
"166",166,2020-05-14,41667,1249,968,1792,31,40
"167",167,2020-05-13,40418,952,926,1761,41,42
"168",168,2020-05-12,39466,1096,933,1720,48,44
"169",169,2020-05-11,38370,1184,956,1672,28,43
"170",170,2020-05-10,37186,589,921,1644,31,45
"171",171,2020-05-09,36597,701,904,1613,49,47
"172",172,2020-05-08,35896,1004,905,1564,50,47
"173",173,2020-05-07,34892,953,894,1514,50,45
"174",174,2020-05-06,33939,1004,889,1464,53,44
"175",175,2020-05-05,32935,1260,887,1411,37,42
"176",176,2020-05-04,31675,934,844,1374,43,45
"177",177,2020-05-03,30741,473,865,1331,44,44
"178",178,2020-05-02,30268,707,883,1287,49,43
"179",179,2020-05-01,29561,926,910,1238,36,42
"180",180,2020-04-30,28635,916,923,1202,45,43
"181",181,2020-04-29,27719,993,931,1157,42,44
"182",182,2020-04-28,26726,960,900,1115,54,45
"183",183,2020-04-27,25766,1078,888,1061,37,43
"184",184,2020-04-26,24688,598,869,1024,41,44
"185",185,2020-04-25,24090,902,853,983,40,44
"186",186,2020-04-24,23188,1013,811,943,44,43
"187",187,2020-04-23,22175,974,785,899,50,43
"188",188,2020-04-22,21201,778,755,849,47,44
"189",189,2020-04-21,20423,876,766,802,40,42
"190",190,2020-04-20,19547,939,735,762,47,43
"191",191,2020-04-19,18608,486,698,715,37,42
"192",192,2020-04-18,18122,610,690,678,38,42
"193",193,2020-04-17,17512,833,671,640,39,41
"194",194,2020-04-16,16679,765,636,601,58,40
"195",195,2020-04-15,15914,851,608,543,35,37
"196",196,2020-04-14,15063,662,573,508,47,37
"197",197,2020-04-13,14401,676,579,461,42,34
"198",198,2020-04-12,13725,435,559,419,37,31
"199",199,2020-04-11,13290,477,581,382,30,29
"200",200,2020-04-10,12813,583,597,352,30,27
"201",201,2020-04-09,12230,573,627,322,35,27
"202",202,2020-04-08,11657,605,633,287,40,25
"203",203,2020-04-07,11052,702,635,247,25,22
"204",204,2020-04-06,10350,535,627,222,17,21
"205",205,2020-04-05,9815,593,639,205,23,20
"206",206,2020-04-04,9222,591,607,182,21,19
"207",207,2020-04-03,8631,788,578,161,26,17
"208",208,2020-04-02,7843,619,519,135,22,14
"209",209,2020-04-01,7224,618,484,113,19,12
"210",210,2020-03-31,6606,645,459,94,16,10
"211",211,2020-03-30,5961,617,407,78,11,8
"212",212,2020-03-29,5344,370,360,67,15,8
"213",213,2020-03-28,4974,392,343,52,8,6
"214",214,2020-03-27,4582,373,315,44,9,5
"215",215,2020-03-26,4209,376,297,35,4,4
"216",216,2020-03-25,3833,439,274,31,7,4
"217",217,2020-03-24,3394,283,238,24,3,3
"218",218,2020-03-23,3111,288,227,21,7,3
"219",219,2020-03-22,2823,251,217,14,4,2
"220",220,2020-03-21,2572,192,206,10,3,1
"221",221,2020-03-20,2380,249,199,7,3,1
"222",222,2020-03-19,2131,217,185,4,4,1
"223",223,2020-03-18,1914,186,176,0,0,0
"224",224,2020-03-17,1728,207,168,0,0,0
"225",225,2020-03-16,1521,220,152,0,0,0
"226",226,2020-03-15,1301,169,133,0,0,0
"227",227,2020-03-14,1132,144,116,0,0,0
"228",228,2020-03-13,988,149,101,0,0,0
"229",229,2020-03-12,839,157,86,0,0,0
"230",230,2020-03-11,682,132,68,0,0,0
"231",231,2020-03-10,550,96,52,0,0,0
"232",232,2020-03-09,454,87,40,0,0,0
"233",233,2020-03-08,367,46,31,0,0,0
"234",234,2020-03-07,321,41,28,0,0,0
"235",235,2020-03-06,280,43,NA,0,0,NA
"236",236,2020-03-05,237,33,NA,0,0,NA
"237",237,2020-03-04,204,19,NA,0,0,NA
"238",238,2020-03-03,185,13,NA,0,0,NA
"239",239,2020-03-02,172,19,NA,0,0,NA
"240",240,2020-03-01,153,25,NA,0,0,NA
