"","X1","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",1,2020-10-26,286259,86,952,6643,4,9
"2",2,2020-10-25,286173,309,1168,6639,8,9
"3",3,2020-10-24,285864,807,1200,6631,7,9
"4",4,2020-10-23,285057,1300,1220,6624,10,9
"5",5,2020-10-22,283757,1340,1214,6614,9,9
"6",6,2020-10-21,282417,1386,1210,6605,10,10
"7",7,2020-10-20,281031,1437,1194,6595,12,10
"8",8,2020-10-19,279594,1598,1158,6583,10,11
"9",9,2020-10-18,277996,531,1141,6573,6,12
"10",10,2020-10-17,277465,949,1135,6567,4,13
"11",11,2020-10-16,276516,1255,1144,6563,15,14
"12",12,2020-10-15,275261,1312,1141,6548,10,13
"13",13,2020-10-14,273949,1278,1123,6538,14,15
"14",14,2020-10-13,272671,1180,1129,6524,19,16
"15",15,2020-10-12,271491,1484,1116,6505,16,15
"16",16,2020-10-11,270007,484,1071,6489,12,15
"17",17,2020-10-10,269523,1017,1066,6477,9,16
"18",18,2020-10-09,268506,1231,1036,6468,12,16
"19",19,2020-10-08,267275,1184,1011,6456,22,16
"20",20,2020-10-07,266091,1322,1004,6434,19,15
"21",21,2020-10-06,264769,1087,976,6415,16,14
"22",22,2020-10-05,263682,1169,972,6399,14,13
"23",23,2020-10-04,262513,452,952,6385,18,14
"24",24,2020-10-03,262061,810,952,6367,13,14
"25",25,2020-10-02,261251,1055,939,6354,12,15
"26",26,2020-10-01,260196,1131,939,6342,13,16
"27",27,2020-09-30,259065,1126,946,6329,14,17
"28",28,2020-09-29,257939,1061,945,6315,9,19
"29",29,2020-09-28,256878,1030,944,6306,22,20
"30",30,2020-09-27,255848,453,973,6284,18,19
"31",31,2020-09-26,255395,718,972,6266,20,19
"32",32,2020-09-25,254677,1054,970,6246,17,18
"33",33,2020-09-24,253623,1177,954,6229,19,18
"34",34,2020-09-23,252446,1119,938,6210,26,18
"35",35,2020-09-22,251327,1058,942,6184,19,17
"36",36,2020-09-21,250269,1232,928,6165,15,17
"37",37,2020-09-20,249037,449,915,6150,15,17
"38",38,2020-09-19,248588,700,895,6135,16,18
"39",39,2020-09-18,247888,943,885,6119,14,18
"40",40,2020-09-17,246945,1063,890,6105,18,20
"41",41,2020-09-16,245882,1152,870,6087,20,21
"42",42,2020-09-15,244730,959,853,6067,21,22
"43",43,2020-09-14,243771,1142,880,6046,18,23
"44",44,2020-09-13,242629,306,770,6028,19,25
"45",45,2020-09-12,242323,629,780,6009,19,25
"46",46,2020-09-11,241694,976,754,5990,25,25
"47",47,2020-09-10,240718,924,753,5965,25,26
"48",48,2020-09-09,239794,1034,765,5940,29,26
"49",49,2020-09-08,238760,1146,789,5911,29,25
"50",50,2020-09-07,237614,375,779,5882,27,25
"51",51,2020-09-06,237239,373,901,5855,21,26
"52",52,2020-09-05,236866,452,907,5834,21,27
"53",53,2020-09-04,236414,965,962,5813,31,29
"54",54,2020-09-03,235449,1009,973,5782,24,28
"55",55,2020-09-02,234440,1203,997,5758,23,29
"56",56,2020-09-01,233237,1075,1023,5735,29,30
"57",57,2020-08-31,232162,1227,1047,5706,31,30
"58",58,2020-08-30,230935,415,1089,5675,32,29
"59",59,2020-08-29,230520,839,1101,5643,34,28
"60",60,2020-08-28,229681,1044,1108,5609,22,29
"61",61,2020-08-27,228637,1177,1141,5587,31,30
"62",62,2020-08-26,227460,1385,1164,5556,28,31
"63",63,2020-08-25,226075,1243,1165,5528,30,33
"64",64,2020-08-24,224832,1523,1194,5498,25,33
"65",65,2020-08-23,223309,496,1192,5473,29,35
"66",66,2020-08-22,222813,889,1198,5444,38,36
"67",67,2020-08-21,221924,1277,1227,5406,32,36
"68",68,2020-08-20,220647,1332,1247,5374,38,36
"69",69,2020-08-19,219315,1395,1271,5336,42,35
"70",70,2020-08-18,217920,1447,1303,5294,29,34
"71",71,2020-08-17,216473,1507,1334,5265,39,35
"72",72,2020-08-16,214966,540,1411,5226,36,36
"73",73,2020-08-15,214426,1092,1426,5190,33,37
"74",74,2020-08-14,213334,1415,1454,5157,35,37
"75",75,2020-08-13,211919,1498,1519,5122,31,37
"76",76,2020-08-12,210421,1625,1571,5091,32,38
"77",77,2020-08-11,208796,1662,1626,5059,42,38
"78",78,2020-08-10,207134,2043,1700,5017,43,39
"79",79,2020-08-09,205091,649,1717,4974,42,39
"80",80,2020-08-08,204442,1287,1729,4932,35,38
"81",81,2020-08-07,203155,1866,1779,4897,33,40
"82",82,2020-08-06,201289,1864,1816,4864,37,41
"83",83,2020-08-05,199425,2009,1874,4827,34,42
"84",84,2020-08-04,197416,2181,1920,4793,49,43
"85",85,2020-08-03,195235,2163,1976,4744,41,40
"86",86,2020-08-02,193072,734,2038,4703,40,40
"87",87,2020-08-01,192338,1636,2047,4663,47,41
"88",88,2020-07-31,190702,2126,2104,4616,39,41
"89",89,2020-07-30,188576,2266,2159,4577,43,41
"90",90,2020-07-29,186310,2336,2207,4534,39,40
"91",91,2020-07-28,183974,2574,2302,4495,32,41
"92",92,2020-07-27,181400,2596,2397,4463,42,44
"93",93,2020-07-26,178804,793,2513,4421,42,44
"94",94,2020-07-25,178011,2034,2551,4379,47,43
"95",95,2020-07-24,175977,2511,2597,4332,40,41
"96",96,2020-07-23,173466,2607,2707,4292,38,40
"97",97,2020-07-22,170859,3002,2821,4254,49,41
"98",98,2020-07-21,167857,3236,2826,4205,47,39
"99",99,2020-07-20,164621,3405,2848,4158,42,39
"100",100,2020-07-19,161216,1060,2870,4116,37,41
"101",101,2020-07-18,160156,2356,2895,4079,32,40
"102",102,2020-07-17,157800,3281,2910,4047,36,40
"103",103,2020-07-16,154519,3408,2908,4011,43,41
"104",104,2020-07-15,151111,3038,2900,3968,37,39
"105",105,2020-07-14,148073,3385,2949,3931,48,39
"106",106,2020-07-13,144688,3561,2960,3883,55,37
"107",107,2020-07-12,141127,1239,2839,3828,29,34
"108",108,2020-07-11,139888,2460,2831,3799,33,35
"109",109,2020-07-10,137428,3268,2609,3766,40,35
"110",110,2020-07-09,134160,3347,2358,3726,32,34
"111",111,2020-07-08,130813,3383,2343,3694,35,35
"112",112,2020-07-07,127430,3460,2349,3659,33,34
"113",113,2020-07-06,123970,2717,2289,3626,35,35
"114",114,2020-07-05,121253,1182,2322,3591,39,34
"115",115,2020-07-04,120071,907,2311,3552,28,34
"116",116,2020-07-03,119164,1507,2474,3524,33,34
"117",117,2020-07-02,117657,3242,2666,3491,42,34
"118",118,2020-07-01,114415,3428,2621,3449,29,31
"119",119,2020-06-30,110987,3042,2518,3420,37,32
"120",120,2020-06-29,107945,2949,2446,3383,32,30
"121",121,2020-06-28,104996,1100,2347,3351,40,30
"122",122,2020-06-27,103896,2049,2323,3311,24,28
"123",123,2020-06-26,101847,2850,2243,3287,31,31
"124",124,2020-06-25,98997,2929,2090,3256,25,31
"125",125,2020-06-24,96068,2707,1930,3231,37,32
"126",126,2020-06-23,93361,2541,1812,3194,21,32
"127",127,2020-06-22,90820,2256,1712,3173,30,33
