X1,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,2020-11-08,307042,54,1508,6787,0,6
2,2020-11-07,306988,732,1600,6787,5,8
3,2020-11-06,306256,1493,1675,6782,7,8
4,2020-11-05,304763,1876,1667,6775,5,9
5,2020-11-04,302887,2102,1595,6770,6,10
6,2020-11-03,300785,2039,1464,6764,12,11
7,2020-11-02,298746,2261,1326,6752,7,10
8,2020-11-01,296485,694,1181,6745,15,11
9,2020-10-31,295791,1259,1162,6730,7,11
10,2020-10-30,294532,1435,1119,6723,8,12
11,2020-10-29,293097,1377,1123,6715,15,13
12,2020-10-28,291720,1186,1153,6700,10,13
13,2020-10-27,290534,1071,1217,6690,11,13
14,2020-10-26,289463,1244,1292,6679,13,14
15,2020-10-25,288219,564,1370,6666,14,14
16,2020-10-24,287655,957,1378,6652,11,13
17,2020-10-23,286698,1465,1386,6641,17,13
18,2020-10-22,285233,1586,1366,6624,13,13
19,2020-10-21,283647,1634,1334,6611,13,13
20,2020-10-20,282013,1596,1291,6598,14,14
21,2020-10-19,280417,1785,1236,6584,16,14
22,2020-10-18,278632,620,1197,6568,8,14
23,2020-10-17,278012,1014,1179,6560,10,15
24,2020-10-16,276998,1328,1182,6550,17,15
25,2020-10-15,275670,1361,1169,6533,14,14
26,2020-10-14,274309,1330,1147,6519,16,15
27,2020-10-13,272979,1215,1146,6503,19,16
28,2020-10-12,271764,1513,1102,6484,16,15
29,2020-10-11,270251,494,1042,6468,15,15
30,2020-10-10,269757,1030,1043,6453,9,15
31,2020-10-09,268727,1238,1019,6444,10,16
32,2020-10-08,267489,1208,998,6434,20,16
33,2020-10-07,266281,1323,992,6414,20,15
34,2020-10-06,264958,905,968,6394,16,14
35,2020-10-05,264053,1096,997,6378,14,13
36,2020-10-04,262957,498,992,6364,18,14
37,2020-10-03,262459,864,988,6346,12,14
38,2020-10-02,261595,1093,968,6334,11,15
39,2020-10-01,260502,1166,966,6323,13,16
40,2020-09-30,259336,1153,968,6310,14,17
41,2020-09-29,258183,1108,964,6296,9,19
42,2020-09-28,257075,1061,958,6287,20,20
43,2020-09-27,256014,468,983,6267,18,19
44,2020-09-26,255546,730,980,6249,20,19
45,2020-09-25,254816,1073,976,6229,17,18
46,2020-09-24,253743,1185,958,6212,19,18
47,2020-09-23,252558,1126,941,6193,27,18
48,2020-09-22,251432,1060,945,6166,18,17
49,2020-09-21,250372,1237,931,6148,15,17
50,2020-09-20,249135,449,918,6133,15,17
51,2020-09-19,248686,701,897,6118,16,18
52,2020-09-18,247985,950,887,6102,15,18
53,2020-09-17,247035,1064,891,6087,18,20
54,2020-09-16,245971,1154,871,6069,20,21
55,2020-09-15,244817,961,854,6049,20,22
56,2020-09-14,243856,1147,880,6029,18,23
57,2020-09-13,242709,305,770,6011,19,25
58,2020-09-12,242404,630,780,5992,19,25
59,2020-09-11,241774,978,754,5973,25,25
60,2020-09-10,240796,924,753,5948,25,26
61,2020-09-09,239872,1034,765,5923,28,26
62,2020-09-08,238838,1145,790,5895,29,25
63,2020-09-07,237693,375,780,5866,27,25
64,2020-09-06,237318,373,901,5839,21,25
65,2020-09-05,236945,451,907,5818,21,27
66,2020-09-04,236494,966,963,5797,30,29
67,2020-09-03,235528,1011,974,5767,25,28
68,2020-09-02,234517,1208,998,5742,23,29
69,2020-09-01,233309,1075,1023,5719,28,29
70,2020-08-31,232234,1224,1047,5691,29,30
71,2020-08-30,231010,415,1091,5662,33,29
72,2020-08-29,230595,839,1103,5629,34,28
73,2020-08-28,229756,1045,1109,5595,22,29
74,2020-08-27,228711,1177,1143,5573,31,30
75,2020-08-26,227534,1386,1165,5542,28,31
76,2020-08-25,226148,1244,1167,5514,30,33
77,2020-08-24,224904,1530,1195,5484,25,33
78,2020-08-23,223374,497,1193,5459,29,35
79,2020-08-22,222877,887,1199,5430,37,36
80,2020-08-21,221990,1279,1228,5393,32,35
81,2020-08-20,220711,1331,1247,5361,37,36
82,2020-08-19,219380,1398,1273,5324,42,35
83,2020-08-18,217982,1446,1305,5282,29,33
84,2020-08-17,216536,1511,1336,5253,39,35
85,2020-08-16,215025,540,1413,5214,36,36
86,2020-08-15,214485,1090,1428,5178,32,36
