X1,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,2020-11-03,297217,72,1015,6729,2,7
2,2020-11-02,297145,1223,1194,6727,6,8
3,2020-11-01,295922,576,1217,6721,11,9
4,2020-10-31,295346,1161,1195,6710,7,10
5,2020-10-30,294185,1441,1155,6703,7,10
6,2020-10-29,292744,1379,1142,6696,10,11
7,2020-10-28,291365,1253,1159,6686,8,11
8,2020-10-27,290112,1323,1202,6678,10,12
9,2020-10-26,288789,1387,1232,6668,12,12
10,2020-10-25,287402,418,1285,6656,14,13
11,2020-10-24,286984,885,1309,6642,11,12
12,2020-10-23,286099,1348,1325,6631,13,12
13,2020-10-22,284751,1497,1318,6618,11,12
14,2020-10-21,283254,1555,1297,6607,12,12
15,2020-10-20,281699,1536,1263,6595,14,13
16,2020-10-19,280163,1758,1216,6581,15,14
17,2020-10-18,278405,585,1180,6566,8,14
18,2020-10-17,277820,993,1166,6558,8,15
19,2020-10-16,276827,1305,1171,6550,17,15
20,2020-10-15,275522,1350,1161,6533,13,14
21,2020-10-14,274172,1316,1140,6520,15,15
22,2020-10-13,272856,1205,1141,6505,19,16
23,2020-10-12,271651,1503,1098,6486,16,15
24,2020-10-11,270148,493,1040,6470,15,15
25,2020-10-10,269655,1024,1041,6455,9,16
26,2020-10-09,268631,1235,1017,6446,11,16
27,2020-10-08,267396,1206,997,6435,21,16
28,2020-10-07,266190,1319,990,6414,20,15
29,2020-10-06,264871,907,965,6394,16,14
30,2020-10-05,263964,1095,993,6378,14,13
31,2020-10-04,262869,500,987,6364,18,14
32,2020-10-03,262369,859,982,6346,12,14
33,2020-10-02,261510,1091,964,6334,12,15
34,2020-10-01,260419,1159,960,6322,13,16
35,2020-09-30,259260,1147,963,6309,14,17
36,2020-09-29,258113,1103,960,6295,9,19
37,2020-09-28,257010,1051,954,6286,20,20
38,2020-09-27,255959,465,981,6266,18,19
39,2020-09-26,255494,729,979,6248,20,19
40,2020-09-25,254765,1068,975,6228,17,18
41,2020-09-24,253697,1181,958,6211,19,18
42,2020-09-23,252516,1125,941,6192,27,18
43,2020-09-22,251391,1060,945,6165,18,17
44,2020-09-21,250331,1238,931,6147,15,17
45,2020-09-20,249093,450,918,6132,15,17
46,2020-09-19,248643,701,897,6117,16,18
47,2020-09-18,247942,948,887,6101,15,18
48,2020-09-17,246994,1064,891,6086,18,20
49,2020-09-16,245930,1154,871,6068,20,21
50,2020-09-15,244776,961,854,6048,20,22
51,2020-09-14,243815,1146,880,6028,18,23
52,2020-09-13,242669,305,770,6010,19,25
53,2020-09-12,242364,630,780,5991,19,25
54,2020-09-11,241734,978,754,5972,25,25
55,2020-09-10,240756,924,752,5947,25,26
56,2020-09-09,239832,1034,765,5922,28,26
57,2020-09-08,238798,1145,789,5894,29,25
58,2020-09-07,237653,375,779,5865,27,25
59,2020-09-06,237278,373,900,5838,21,25
60,2020-09-05,236905,451,906,5817,21,27
61,2020-09-04,236454,965,962,5796,30,29
62,2020-09-03,235489,1011,973,5766,24,28
63,2020-09-02,234478,1203,997,5742,23,29
64,2020-09-01,233275,1074,1023,5719,28,29
65,2020-08-31,232201,1226,1047,5691,29,30
66,2020-08-30,230975,415,1090,5662,33,29
67,2020-08-29,230560,839,1102,5629,34,28
68,2020-08-28,229721,1044,1109,5595,22,29
69,2020-08-27,228677,1177,1143,5573,31,30
70,2020-08-26,227500,1386,1165,5542,28,31
71,2020-08-25,226114,1245,1166,5514,30,33
72,2020-08-24,224869,1525,1195,5484,25,33
73,2020-08-23,223344,498,1192,5459,29,35
74,2020-08-22,222846,888,1198,5430,37,36
75,2020-08-21,221958,1279,1227,5393,32,35
76,2020-08-20,220679,1331,1247,5361,37,35
77,2020-08-19,219348,1397,1271,5324,41,35
78,2020-08-18,217951,1446,1303,5283,29,33
79,2020-08-17,216505,1507,1334,5254,39,35
80,2020-08-16,214998,540,1411,5215,36,36
81,2020-08-15,214458,1090,1427,5179,32,36
82,2020-08-14,213368,1416,1455,5147,34,37
83,2020-08-13,211952,1499,1521,5113,31,37
84,2020-08-12,210453,1625,1574,5082,32,37
85,2020-08-11,208828,1664,1630,5050,43,38
86,2020-08-10,207164,2043,1704,5007,43,38
87,2020-08-09,205121,649,1720,4964,40,38
88,2020-08-08,204472,1288,1732,4924,35,38
89,2020-08-07,203184,1878,1782,4889,33,40
90,2020-08-06,201306,1868,1817,4856,36,40
91,2020-08-05,199438,2017,1874,4820,34,41
92,2020-08-04,197421,2182,1920,4786,47,42
93,2020-08-03,195239,2160,1976,4739,41,40
94,2020-08-02,193079,734,2038,4698,39,40
95,2020-08-01,192345,1636,2047,4659,47,41
96,2020-07-31,190709,2125,2104,4612,38,41
97,2020-07-30,188584,2265,2159,4574,42,41
98,2020-07-29,186319,2338,2208,4532,39,40
99,2020-07-28,183981,2573,2303,4493,33,42
100,2020-07-27,181408,2598,2398,4460,42,43
101,2020-07-26,178810,793,2513,4418,44,43
102,2020-07-25,178017,2036,2551,4374,46,42
103,2020-07-24,175981,2512,2597,4328,39,40
104,2020-07-23,173469,2607,2706,4289,38,40
105,2020-07-22,170862,3005,2821,4251,49,41
106,2020-07-21,167857,3234,2825,4202,46,39
107,2020-07-20,164623,3405,2847,4156,41,39
108,2020-07-19,161218,1059,2869,4115,37,41
109,2020-07-18,160159,2355,2895,4078,32,40
110,2020-07-17,157804,3278,2911,4046,37,40
111,2020-07-16,154526,3408,2910,4009,43,41
112,2020-07-15,151118,3039,2901,3966,37,39
113,2020-07-14,148079,3385,2950,3929,48,39
114,2020-07-13,144694,3562,2961,3881,55,37
115,2020-07-12,141132,1239,2840,3826,29,34
116,2020-07-11,139893,2464,2832,3797,33,35
117,2020-07-10,137429,3270,2609,3764,40,35
118,2020-07-09,134159,3348,2358,3724,32,34
119,2020-07-08,130811,3382,2343,3692,35,35
120,2020-07-07,127429,3462,2350,3657,33,34
121,2020-07-06,123967,2716,2290,3624,35,35
122,2020-07-05,121251,1182,2324,3589,39,34
123,2020-07-04,120069,906,2312,3550,28,34
124,2020-07-03,119163,1507,2475,3522,33,34
125,2020-07-02,117656,3245,2667,3489,41,34
126,2020-07-01,114411,3429,2621,3448,29,31
127,2020-06-30,110982,3044,2510,3419,38,32
128,2020-06-29,107938,2952,2422,3381,32,30
129,2020-06-28,104986,1100,2317,3349,40,30
130,2020-06-27,103886,2049,2295,3309,24,28
131,2020-06-26,101837,2850,2216,3285,31,30
132,2020-06-25,98987,2920,2066,3254,25,31
133,2020-06-24,96067,2654,1910,3229,37,32
134,2020-06-23,93413,2431,1804,3192,21,32
135,2020-06-22,90982,2214,1722,3171,30,32
136,2020-06-21,88768,946,1693,3141,30,33
137,2020-06-20,87822,1497,1680,3111,39,33
138,2020-06-19,86325,1799,1646,3072,35,31
139,2020-06-18,84526,1826,1603,3037,29,30
140,2020-06-17,82700,1917,1544,3008,40,30
141,2020-06-16,80783,1858,1486,2968,24,28
142,2020-06-15,78925,2008,1412,2944,32,29
143,2020-06-14,76917,857,1349,2912,29,30
144,2020-06-13,76060,1260,1326,2883,28,31
145,2020-06-12,74800,1497,1301,2855,30,32
146,2020-06-11,73303,1411,1285,2825,24,33
147,2020-06-10,71892,1512,1304,2801,26,36
148,2020-06-09,70380,1341,1279,2775,36,39
149,2020-06-08,69039,1564,1287,2739,37,38
150,2020-06-07,67475,696,1236,2702,35,38
151,2020-06-06,66779,1083,1206,2667,35,37
152,2020-06-05,65696,1385,1183,2632,40,38
153,2020-06-04,64311,1544,1198,2592,45,37
154,2020-06-03,62767,1338,1158,2547,45,35
155,2020-06-02,61429,1402,1165,2502,30,35
156,2020-06-01,60027,1205,1206,2472,36,36
157,2020-05-31,58822,487,1168,2436,30,35
158,2020-05-30,58335,920,1171,2406,37,36
159,2020-05-29,57415,1488,1146,2369,33,36
160,2020-05-28,55927,1266,1073,2336,32,38
161,2020-05-27,54661,1389,1028,2304,47,37
162,2020-05-26,53272,1686,994,2257,40,34
163,2020-05-25,51586,943,890,2217,28,35
164,2020-05-24,50643,507,922,2189,38,38
165,2020-05-23,50136,745,928,2151,35,38
166,2020-05-22,49391,974,930,2116,43,40
167,2020-05-21,48417,949,965,2073,27,40
168,2020-05-20,47468,1156,1008,2046,29,41
169,2020-05-19,46312,959,979,2017,47,42
170,2020-05-18,45353,1164,998,1970,45,43
171,2020-05-17,44189,549,1001,1925,38,40
172,2020-05-16,43640,758,1007,1887,52,39
173,2020-05-15,42882,1221,999,1835,43,39
174,2020-05-14,41661,1250,968,1792,31,40
175,2020-05-13,40411,952,925,1761,41,43
176,2020-05-12,39459,1095,932,1720,48,44
177,2020-05-11,38364,1184,956,1672,28,43
178,2020-05-10,37180,589,920,1644,32,45
179,2020-05-09,36591,700,904,1612,49,47
180,2020-05-08,35891,1003,905,1563,50,47
181,2020-05-07,34888,953,894,1513,50,45
182,2020-05-06,33935,1003,889,1463,53,44
183,2020-05-05,32932,1260,887,1410,37,42
184,2020-05-04,31672,935,844,1373,43,45
185,2020-05-03,30737,474,865,1330,44,44
186,2020-05-02,30263,706,883,1286,49,43
187,2020-05-01,29557,927,910,1237,36,42
188,2020-04-30,28630,916,923,1201,45,43
189,2020-04-29,27714,994,931,1156,42,44
190,2020-04-28,26720,958,900,1114,54,45
191,2020-04-27,25762,1077,889,1060,37,43
192,2020-04-26,24685,600,869,1023,41,44
193,2020-04-25,24085,901,853,982,39,43
194,2020-04-24,23184,1014,811,943,44,43
195,2020-04-23,22170,975,785,899,51,43
196,2020-04-22,21195,777,755,848,47,44
197,2020-04-21,20418,877,766,801,40,42
198,2020-04-20,19541,939,735,761,47,43
199,2020-04-19,18602,486,697,714,36,42
200,2020-04-18,18116,610,690,678,38,42
201,2020-04-17,17506,833,671,640,39,41
202,2020-04-16,16673,765,635,601,58,40
203,2020-04-15,15908,851,608,543,35,37
204,2020-04-14,15057,662,573,508,47,37
205,2020-04-13,14395,675,578,461,42,34
206,2020-04-12,13720,435,558,419,37,31
207,2020-04-11,13285,477,581,382,30,29
208,2020-04-10,12808,583,597,352,30,27
209,2020-04-09,12225,573,626,322,35,27
210,2020-04-08,11652,605,633,287,40,25
211,2020-04-07,11047,699,635,247,25,22
212,2020-04-06,10348,536,627,222,17,21
213,2020-04-05,9812,591,638,205,23,20
214,2020-04-04,9221,591,607,182,21,19
215,2020-04-03,8630,789,578,161,26,17
216,2020-04-02,7841,619,519,135,22,14
217,2020-04-01,7222,617,484,113,19,12
218,2020-03-31,6605,644,458,94,16,10
219,2020-03-30,5961,617,407,78,11,8
220,2020-03-29,5344,370,360,67,15,8
221,2020-03-28,4974,392,343,52,8,6
222,2020-03-27,4582,373,315,44,9,5
223,2020-03-26,4209,373,297,35,4,4
224,2020-03-25,3836,438,275,31,7,4
225,2020-03-24,3398,284,239,24,3,3
226,2020-03-23,3114,290,228,21,7,3
227,2020-03-22,2824,252,218,14,4,2
228,2020-03-21,2572,192,206,10,3,1
229,2020-03-20,2380,249,199,7,3,1
230,2020-03-19,2131,217,185,4,4,1
231,2020-03-18,1914,186,176,0,0,0
232,2020-03-17,1728,207,168,0,0,0
233,2020-03-16,1521,220,152,0,0,0
234,2020-03-15,1301,169,133,0,0,0
235,2020-03-14,1132,144,116,0,0,0
236,2020-03-13,988,149,101,0,0,0
237,2020-03-12,839,157,86,0,0,0
238,2020-03-11,682,132,68,0,0,0
239,2020-03-10,550,96,52,0,0,0
240,2020-03-09,454,87,40,0,0,0
241,2020-03-08,367,46,31,0,0,0
242,2020-03-07,321,41,28,0,0,0
243,2020-03-06,280,43,NA,0,0,NA
244,2020-03-05,237,33,NA,0,0,NA
245,2020-03-04,204,19,NA,0,0,NA
246,2020-03-03,185,13,NA,0,0,NA
247,2020-03-02,172,19,NA,0,0,NA
248,2020-03-01,153,25,NA,0,0,NA
